,sentence_index,sentence,splitset_label
0,1,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",1
1,2,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,1
2,3,Effective but too-tepid biopic,2
3,4,"If you sometimes like to go to the movies to have fun , Wasabi is a good place to start .",2
4,5,"Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",2
5,6,The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,2
6,7,Offers that rare combination of entertainment and education .,2
7,8,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,2
8,9,Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .,2
9,10,But he somehow pulls it off .,2
10,11,Take Care of My Cat offers a refreshingly different slice of Asian cinema .,2
11,12,"This is a film well worth seeing , talking and singing heads and all .",2
12,13,What really surprises about Wisegirls is its low-key quality and genuine tenderness .,2
13,14,"-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .",2
14,15,"One of the greatest family-oriented , fantasy-adventure movies ever .",2
15,16,"Ultimately , it ponders the reasons we need stories so much .",2
16,17,An utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question .,2
17,18,Illuminating if overly talky documentary .,2
18,19,A masterpiece four years in the making .,2
19,20,"The movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",2
20,21,Offers a breath of the fresh air of true sophistication .,2
21,22,"A thoughtful , provocative , insistently humanizing film .",2
22,23,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",2
23,24,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass .,2
24,25,"Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .",2
25,26,Scores a few points for doing what it does with a dedicated and good-hearted professionalism .,2
26,27,"Occasionally melodramatic , it 's also extremely effective .",2
27,28,An idealistic love story that brings out the latent 15-year-old romantic in everyone .,2
28,29,"At about 95 minutes , Treasure Planet maintains a brisk pace as it races through the familiar story .",2
29,30,"However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .",2
30,31,It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,2
31,32,"Guaranteed to move anyone who ever shook , rattled , or rolled .",2
32,33,"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",2
33,34,"Light , cute and forgettable .",2
34,35,"If there 's a way to effectively teach kids about the dangers of drugs , I think it 's in projects like the -LRB- unfortunately R-rated -RRB- Paid .",2
35,36,"While it would be easy to give Crush the new title of Two Weddings and a Funeral , it 's a far more thoughtful film than any slice of Hugh Grant whimsy .",2
36,37,"Though everything might be literate and smart , it never took off and always seemed static .",2
37,38,"Cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate Vincent 's days",2
38,39,"Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn .",2
39,40,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",2
40,41,"Like most Bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike .",2
41,42,A heavy reliance on CGI technology is beginning to creep into the series .,2
42,43,"Newton draws our attention like a magnet , and acts circles around her better known co-star , Mark Wahlberg .",2
43,44,The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .,2
44,45,"Much of the way , though , this is a refreshingly novel ride .",2
45,46,Fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,2
46,47,The film makes a strong case for the importance of the musicians in creating the Motown sound .,2
47,48,"Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",2
48,49,Gosling provides an amazing performance that dwarfs everything else in the film .,2
49,50,"A real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .",2
50,51,Tender yet lacerating and darkly funny fable .,2
51,52,May be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,2
52,53,An engaging overview of Johnson 's eccentric career .,2
53,54,"In its ragged , cheap and unassuming way , the movie works .",2
54,55,Some actors have so much charisma that you 'd be happy to listen to them reading the phone book .,2
55,56,Hugh Grant and Sandra Bullock are two such likeable actors .,2
56,57,"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",2
57,58,"Behind the snow games and lovable Siberian huskies -LRB- plus one sheep dog -RRB- , the picture hosts a parka-wrapped dose of heart .",2
58,59,"Everytime you think Undercover Brother has run out of steam , it finds a new way to surprise and amuse .",2
59,60,"Manages to be original , even though it rips off many of its ideas .",2
60,61,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",1
