C:\Users\nicfl\Desktop\Project\venv\Scripts\python.exe C:/Users/nicfl/Desktop/Project/main_clstm_twitter.py
2022-07-08 19:50:14,881 : INFO : loading projection weights from C:\Users\nicfl/gensim-data\word2vec-google-news-300\word2vec-google-news-300.gz
2022-07-08 19:50:49,989 : INFO : KeyedVectors lifecycle event {'msg': 'loaded (3000000, 300) matrix of type float32 from C:\\Users\\nicfl/gensim-data\\word2vec-google-news-300\\word2vec-google-news-300.gz', 'binary': True, 'encoding': 'utf8', 'datetime': '2022-07-08T19:50:49.971903', 'gensim': '4.2.0', 'python': '3.10.5 (tags/v3.10.5:f377153, Jun  6 2022, 16:14:13) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22000-SP0', 'event': 'load_word2vec_format'}
C:\Users\nicfl\Desktop\Project\main_clstm_twitter.py:63: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  ..\torch\csrc\utils\tensor_numpy.cpp:178.)
  word2vec_vectors.append(torch.FloatTensor(w2v[token]))
C:\Users\nicfl\Desktop\Project\venv\lib\site-packages\torch\nn\modules\rnn.py:62: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn("dropout option adds dropout after all but last "

## The 1/25 Epoch ! ##
| epoch   1 |   500/16000 batches | accuracy    0.348
| epoch   1 |  1000/16000 batches | accuracy    0.340
| epoch   1 |  1500/16000 batches | accuracy    0.352
| epoch   1 |  2000/16000 batches | accuracy    0.344
| epoch   1 |  2500/16000 batches | accuracy    0.342
| epoch   1 |  3000/16000 batches | accuracy    0.362
| epoch   1 |  3500/16000 batches | accuracy    0.374
| epoch   1 |  4000/16000 batches | accuracy    0.366
| epoch   1 |  4500/16000 batches | accuracy    0.358
| epoch   1 |  5000/16000 batches | accuracy    0.390
| epoch   1 |  5500/16000 batches | accuracy    0.364
| epoch   1 |  6000/16000 batches | accuracy    0.362
| epoch   1 |  6500/16000 batches | accuracy    0.356
| epoch   1 |  7000/16000 batches | accuracy    0.364
| epoch   1 |  7500/16000 batches | accuracy    0.354
| epoch   1 |  8000/16000 batches | accuracy    0.340
| epoch   1 |  8500/16000 batches | accuracy    0.334
| epoch   1 |  9000/16000 batches | accuracy    0.356
| epoch   1 |  9500/16000 batches | accuracy    0.340
| epoch   1 | 10000/16000 batches | accuracy    0.360
| epoch   1 | 10500/16000 batches | accuracy    0.354
| epoch   1 | 11000/16000 batches | accuracy    0.372
| epoch   1 | 11500/16000 batches | accuracy    0.366
| epoch   1 | 12000/16000 batches | accuracy    0.338
| epoch   1 | 12500/16000 batches | accuracy    0.356
| epoch   1 | 13000/16000 batches | accuracy    0.346
| epoch   1 | 13500/16000 batches | accuracy    0.376
| epoch   1 | 14000/16000 batches | accuracy    0.348
| epoch   1 | 14500/16000 batches | accuracy    0.402
| epoch   1 | 15000/16000 batches | accuracy    0.358
| epoch   1 | 15500/16000 batches | accuracy    0.350
| epoch   1 | 16000/16000 batches | accuracy    0.352
-----------------------------------------------------------
| end of epoch   1 | time: 311.52s | train accuracy    0.357 
544967.9608653929
-----------------------------------------------------------

## The 2/25 Epoch ! ##
| epoch   2 |   500/16000 batches | accuracy    0.364
| epoch   2 |  1000/16000 batches | accuracy    0.350
| epoch   2 |  1500/16000 batches | accuracy    0.320
| epoch   2 |  2000/16000 batches | accuracy    0.344
| epoch   2 |  2500/16000 batches | accuracy    0.356
| epoch   2 |  3000/16000 batches | accuracy    0.370
| epoch   2 |  3500/16000 batches | accuracy    0.352
| epoch   2 |  4000/16000 batches | accuracy    0.366
| epoch   2 |  4500/16000 batches | accuracy    0.394
| epoch   2 |  5000/16000 batches | accuracy    0.328
| epoch   2 |  5500/16000 batches | accuracy    0.360
| epoch   2 |  6000/16000 batches | accuracy    0.394
| epoch   2 |  6500/16000 batches | accuracy    0.380
| epoch   2 |  7000/16000 batches | accuracy    0.336
| epoch   2 |  7500/16000 batches | accuracy    0.344
| epoch   2 |  8000/16000 batches | accuracy    0.346
| epoch   2 |  8500/16000 batches | accuracy    0.440
| epoch   2 |  9000/16000 batches | accuracy    0.358
| epoch   2 |  9500/16000 batches | accuracy    0.348
| epoch   2 | 10000/16000 batches | accuracy    0.394
| epoch   2 | 10500/16000 batches | accuracy    0.350
| epoch   2 | 11000/16000 batches | accuracy    0.382
| epoch   2 | 11500/16000 batches | accuracy    0.340
| epoch   2 | 12000/16000 batches | accuracy    0.340
| epoch   2 | 12500/16000 batches | accuracy    0.380
| epoch   2 | 13000/16000 batches | accuracy    0.370
| epoch   2 | 13500/16000 batches | accuracy    0.360
| epoch   2 | 14000/16000 batches | accuracy    0.386
| epoch   2 | 14500/16000 batches | accuracy    0.334
| epoch   2 | 15000/16000 batches | accuracy    0.344
| epoch   2 | 15500/16000 batches | accuracy    0.358
| epoch   2 | 16000/16000 batches | accuracy    0.332
-----------------------------------------------------------
| end of epoch   2 | time: 306.44s | train accuracy    0.360 
45248.64965054916
-----------------------------------------------------------

## The 3/25 Epoch ! ##
| epoch   3 |   500/16000 batches | accuracy    0.362
| epoch   3 |  1000/16000 batches | accuracy    0.380
| epoch   3 |  1500/16000 batches | accuracy    0.362
| epoch   3 |  2000/16000 batches | accuracy    0.364
| epoch   3 |  2500/16000 batches | accuracy    0.338
| epoch   3 |  3000/16000 batches | accuracy    0.370
| epoch   3 |  3500/16000 batches | accuracy    0.326
| epoch   3 |  4000/16000 batches | accuracy    0.344
| epoch   3 |  4500/16000 batches | accuracy    0.346
| epoch   3 |  5000/16000 batches | accuracy    0.372
| epoch   3 |  5500/16000 batches | accuracy    0.370
| epoch   3 |  6000/16000 batches | accuracy    0.388
| epoch   3 |  6500/16000 batches | accuracy    0.374
| epoch   3 |  7000/16000 batches | accuracy    0.354
| epoch   3 |  7500/16000 batches | accuracy    0.356
| epoch   3 |  8000/16000 batches | accuracy    0.402
| epoch   3 |  8500/16000 batches | accuracy    0.352
| epoch   3 |  9000/16000 batches | accuracy    0.344
| epoch   3 |  9500/16000 batches | accuracy    0.338
| epoch   3 | 10000/16000 batches | accuracy    0.360
| epoch   3 | 10500/16000 batches | accuracy    0.348
| epoch   3 | 11000/16000 batches | accuracy    0.378
| epoch   3 | 11500/16000 batches | accuracy    0.340
| epoch   3 | 12000/16000 batches | accuracy    0.376
| epoch   3 | 12500/16000 batches | accuracy    0.360
| epoch   3 | 13000/16000 batches | accuracy    0.358
| epoch   3 | 13500/16000 batches | accuracy    0.364
| epoch   3 | 14000/16000 batches | accuracy    0.358
| epoch   3 | 14500/16000 batches | accuracy    0.316
| epoch   3 | 15000/16000 batches | accuracy    0.364
| epoch   3 | 15500/16000 batches | accuracy    0.362
| epoch   3 | 16000/16000 batches | accuracy    0.334
-----------------------------------------------------------
| end of epoch   3 | time: 305.90s | train accuracy    0.358 
4722.164691012701
-----------------------------------------------------------

## The 4/25 Epoch ! ##
| epoch   4 |   500/16000 batches | accuracy    0.336
| epoch   4 |  1000/16000 batches | accuracy    0.442
| epoch   4 |  1500/16000 batches | accuracy    0.336
| epoch   4 |  2000/16000 batches | accuracy    0.386
| epoch   4 |  2500/16000 batches | accuracy    0.368
| epoch   4 |  3000/16000 batches | accuracy    0.362
| epoch   4 |  3500/16000 batches | accuracy    0.400
| epoch   4 |  4000/16000 batches | accuracy    0.404
| epoch   4 |  4500/16000 batches | accuracy    0.400
| epoch   4 |  5000/16000 batches | accuracy    0.362
| epoch   4 |  5500/16000 batches | accuracy    0.422
| epoch   4 |  6000/16000 batches | accuracy    0.398
| epoch   4 |  6500/16000 batches | accuracy    0.378
| epoch   4 |  7000/16000 batches | accuracy    0.416
| epoch   4 |  7500/16000 batches | accuracy    0.368
| epoch   4 |  8000/16000 batches | accuracy    0.396
| epoch   4 |  8500/16000 batches | accuracy    0.384
| epoch   4 |  9000/16000 batches | accuracy    0.354
| epoch   4 |  9500/16000 batches | accuracy    0.350
| epoch   4 | 10000/16000 batches | accuracy    0.378
| epoch   4 | 10500/16000 batches | accuracy    0.346
| epoch   4 | 11000/16000 batches | accuracy    0.394
| epoch   4 | 11500/16000 batches | accuracy    0.380
| epoch   4 | 12000/16000 batches | accuracy    0.364
| epoch   4 | 12500/16000 batches | accuracy    0.408
| epoch   4 | 13000/16000 batches | accuracy    0.384
| epoch   4 | 13500/16000 batches | accuracy    0.390
| epoch   4 | 14000/16000 batches | accuracy    0.382
| epoch   4 | 14500/16000 batches | accuracy    0.362
| epoch   4 | 15000/16000 batches | accuracy    0.396
| epoch   4 | 15500/16000 batches | accuracy    0.356
| epoch   4 | 16000/16000 batches | accuracy    0.376
-----------------------------------------------------------
| end of epoch   4 | time: 309.68s | train accuracy    0.381 
595.820124736418
-----------------------------------------------------------

## The 5/25 Epoch ! ##
| epoch   5 |   500/16000 batches | accuracy    0.486
| epoch   5 |  1000/16000 batches | accuracy    0.398
| epoch   5 |  1500/16000 batches | accuracy    0.368
| epoch   5 |  2000/16000 batches | accuracy    0.382
| epoch   5 |  2500/16000 batches | accuracy    0.398
| epoch   5 |  3000/16000 batches | accuracy    0.360
| epoch   5 |  3500/16000 batches | accuracy    0.478
| epoch   5 |  4000/16000 batches | accuracy    0.420
| epoch   5 |  4500/16000 batches | accuracy    0.418
| epoch   5 |  5000/16000 batches | accuracy    0.370
| epoch   5 |  5500/16000 batches | accuracy    0.400
| epoch   5 |  6000/16000 batches | accuracy    0.386
| epoch   5 |  6500/16000 batches | accuracy    0.406
| epoch   5 |  7000/16000 batches | accuracy    0.434
| epoch   5 |  7500/16000 batches | accuracy    0.446
| epoch   5 |  8000/16000 batches | accuracy    0.390
| epoch   5 |  8500/16000 batches | accuracy    0.438
| epoch   5 |  9000/16000 batches | accuracy    0.396
| epoch   5 |  9500/16000 batches | accuracy    0.404
| epoch   5 | 10000/16000 batches | accuracy    0.378
| epoch   5 | 10500/16000 batches | accuracy    0.428
| epoch   5 | 11000/16000 batches | accuracy    0.378
| epoch   5 | 11500/16000 batches | accuracy    0.396
| epoch   5 | 12000/16000 batches | accuracy    0.444
| epoch   5 | 12500/16000 batches | accuracy    0.360
| epoch   5 | 13000/16000 batches | accuracy    0.408
| epoch   5 | 13500/16000 batches | accuracy    0.406
| epoch   5 | 14000/16000 batches | accuracy    0.438
| epoch   5 | 14500/16000 batches | accuracy    0.384
| epoch   5 | 15000/16000 batches | accuracy    0.378
| epoch   5 | 15500/16000 batches | accuracy    0.364
| epoch   5 | 16000/16000 batches | accuracy    0.396
-----------------------------------------------------------
| end of epoch   5 | time: 345.36s | train accuracy    0.404 
71.29998502253477
-----------------------------------------------------------

## The 6/25 Epoch ! ##
| epoch   6 |   500/16000 batches | accuracy    0.416
| epoch   6 |  1000/16000 batches | accuracy    0.452
| epoch   6 |  1500/16000 batches | accuracy    0.436
| epoch   6 |  2000/16000 batches | accuracy    0.400
| epoch   6 |  2500/16000 batches | accuracy    0.438
| epoch   6 |  3000/16000 batches | accuracy    0.400
| epoch   6 |  3500/16000 batches | accuracy    0.396
| epoch   6 |  4000/16000 batches | accuracy    0.432
| epoch   6 |  4500/16000 batches | accuracy    0.446
| epoch   6 |  5000/16000 batches | accuracy    0.422
| epoch   6 |  5500/16000 batches | accuracy    0.432
| epoch   6 |  6000/16000 batches | accuracy    0.424
| epoch   6 |  6500/16000 batches | accuracy    0.476
| epoch   6 |  7000/16000 batches | accuracy    0.426
| epoch   6 |  7500/16000 batches | accuracy    0.444
| epoch   6 |  8000/16000 batches | accuracy    0.478
| epoch   6 |  8500/16000 batches | accuracy    0.440
| epoch   6 |  9000/16000 batches | accuracy    0.450
| epoch   6 |  9500/16000 batches | accuracy    0.460
| epoch   6 | 10000/16000 batches | accuracy    0.468
| epoch   6 | 10500/16000 batches | accuracy    0.450
| epoch   6 | 11000/16000 batches | accuracy    0.438
| epoch   6 | 11500/16000 batches | accuracy    0.460
| epoch   6 | 12000/16000 batches | accuracy    0.474
| epoch   6 | 12500/16000 batches | accuracy    0.470
| epoch   6 | 13000/16000 batches | accuracy    0.450
| epoch   6 | 13500/16000 batches | accuracy    0.426
| epoch   6 | 14000/16000 batches | accuracy    0.466
| epoch   6 | 14500/16000 batches | accuracy    0.438
| epoch   6 | 15000/16000 batches | accuracy    0.448
| epoch   6 | 15500/16000 batches | accuracy    0.490
| epoch   6 | 16000/16000 batches | accuracy    0.454
-----------------------------------------------------------
| end of epoch   6 | time: 316.89s | train accuracy    0.444 
4.6824624815677955
-----------------------------------------------------------

## The 7/25 Epoch ! ##
| epoch   7 |   500/16000 batches | accuracy    0.530
| epoch   7 |  1000/16000 batches | accuracy    0.580
| epoch   7 |  1500/16000 batches | accuracy    0.600
| epoch   7 |  2000/16000 batches | accuracy    0.570
| epoch   7 |  2500/16000 batches | accuracy    0.570
| epoch   7 |  3000/16000 batches | accuracy    0.522
| epoch   7 |  3500/16000 batches | accuracy    0.550
| epoch   7 |  4000/16000 batches | accuracy    0.570
| epoch   7 |  4500/16000 batches | accuracy    0.586
| epoch   7 |  5000/16000 batches | accuracy    0.584
| epoch   7 |  5500/16000 batches | accuracy    0.562
| epoch   7 |  6000/16000 batches | accuracy    0.526
| epoch   7 |  6500/16000 batches | accuracy    0.544
| epoch   7 |  7000/16000 batches | accuracy    0.556
| epoch   7 |  7500/16000 batches | accuracy    0.562
| epoch   7 |  8000/16000 batches | accuracy    0.592
| epoch   7 |  8500/16000 batches | accuracy    0.558
| epoch   7 |  9000/16000 batches | accuracy    0.606
| epoch   7 |  9500/16000 batches | accuracy    0.586
| epoch   7 | 10000/16000 batches | accuracy    0.554
| epoch   7 | 10500/16000 batches | accuracy    0.574
| epoch   7 | 11000/16000 batches | accuracy    0.564
| epoch   7 | 11500/16000 batches | accuracy    0.572
| epoch   7 | 12000/16000 batches | accuracy    0.548
| epoch   7 | 12500/16000 batches | accuracy    0.548
| epoch   7 | 13000/16000 batches | accuracy    0.580
| epoch   7 | 13500/16000 batches | accuracy    0.572
| epoch   7 | 14000/16000 batches | accuracy    0.568
| epoch   7 | 14500/16000 batches | accuracy    0.578
| epoch   7 | 15000/16000 batches | accuracy    0.538
| epoch   7 | 15500/16000 batches | accuracy    0.526
| epoch   7 | 16000/16000 batches | accuracy    0.546
-----------------------------------------------------------
| end of epoch   7 | time: 312.18s | train accuracy    0.563 
1.0980287461853904
-----------------------------------------------------------

## The 8/25 Epoch ! ##
| epoch   8 |   500/16000 batches | accuracy    0.630
| epoch   8 |  1000/16000 batches | accuracy    0.640
| epoch   8 |  1500/16000 batches | accuracy    0.606
| epoch   8 |  2000/16000 batches | accuracy    0.630
| epoch   8 |  2500/16000 batches | accuracy    0.646
| epoch   8 |  3000/16000 batches | accuracy    0.606
| epoch   8 |  3500/16000 batches | accuracy    0.640
| epoch   8 |  4000/16000 batches | accuracy    0.618
